Plot_ID,Blue,Green,NIR,Red,RedEdge,GrainYield,Replicates,Block,Name,Line,Days2Heading,Days2Maturity,NDVI,MTCI,DVI,GDVI,MTCI_CI,EXG,EXGR,RDVI,TDVI,GNDVI,NDRE,SCCI,EVI,TVI,VARI,GARI,GCI,GLI,NLI,MNLI,SAVI,GSAVI,OSAVI,GOSAVI,MSAVI2,MSR,GRVI,WDRVI,SR
1101,0.023674281314015,0.089455373585224,0.761673212051392,0.029804253950715,0.208381250500679,522.6666666666666,1,1,GN12687,1574,66,107,0.9246870435837888,3.098338376387172,0.7318689581006771,0.672217838466168,3.098338376387172,0.125432211905718,0.173161629959941,0.8226480068394154,1.0420122214744503,0.7897958661127229,0.5703720594151828,0.6168271345131047,-3.0765821577404555,46.298182271420984,0.6240613440475993,0.694882480691071,7.514560741571854,0.15481281212066775,0.9022731780075953,0.7437384496434128,0.8500368500809944,0.746284823234759,0.7691921083279301,0.6648193395135134,2.1654618368309615,25.358042680567582,8.514560741571854,0.43750474772350284,25.555855661105035
1102,0.025652374140918,0.102922894060612,0.70238134264946,0.034139530733228,0.224666148424149,388.0,1,1,Avocet YrA,28,69,110,0.9072951440563194,2.5073409690202837,0.668241811916232,0.5994584485888479,2.5073409690202837,0.146053883247078,0.2011814342811708,0.7786478992503567,0.9888681990779874,0.7443875510177735,0.5153082218820003,0.5679609609483517,-2.4042711100664067,42.84584324806927,0.6173892115143741,0.6318030314110291,5.82434505034247,0.1623677298959894,0.8705558876258078,0.6703786405316745,0.8106314575444526,0.6888721016868922,0.7453722849696407,0.6210046799669175,2.074252066227378,20.35337658057808,6.82434505034247,0.34584605367776255,20.573842919458535
1103,0.025808470323682,0.102084405720234,0.808827757835388,0.030563998967409,0.229355111718178,541.3333333333334,1,1,GN08557,1313,70,108,0.9271758419839008,2.914982657417457,0.7782637588679789,0.7067433521151539,2.914982657417457,0.147796342149377,0.20709114931523837,0.8494629808967391,1.0725108950605533,0.775863338300893,0.5581604774180022,0.6020006692837171,-3.4247345762752848,49.556641802191734,0.6694164235367605,0.7237028092594501,6.923127456430609,0.17544987996063835,0.9107315966168931,0.789571312158435,0.8715863991044764,0.7513685511797902,0.7787374206064702,0.6599452094825763,2.222051443466696,26.269022581433788,7.923127456430609,0.45150500701862506,26.463413989048263
1104,0.023337099701166,0.089539937674999,0.753786385059357,0.029658067971468,0.204101845622063,572.0,1,1,GN08541,1311,69,109,0.9242880133831235,3.1510699139885268,0.724128317087889,0.664246447384358,3.1510699139885268,0.12608470767736402,0.17410335019230783,0.8181094814483142,1.0366565469505187,0.7876505564662573,0.5738503948902899,0.6208566881548696,-3.021278685189423,45.84297381341458,0.6246745648085161,0.6877340721653138,7.418437678562583,0.1574696250247001,0.9007845792908695,0.7358038993763943,0.8463104679495981,0.7417182662276842,0.7675367794697604,0.6620442744630612,2.1558290208005033,25.21753958299343,8.418437678562583,0.435281836871984,25.41589646987536
1105,0.02328722178936,0.090001873672009,0.765595138072968,0.029224989935756,0.207027703523636,542.6666666666667,1,1,SW44431,1324,67,106,0.9264613743263553,3.141501180032648,0.736370148137212,0.675593264400959,3.141501180032648,0.127491535618902,0.1765784233808526,0.8259651926419801,1.0458748611281643,0.7896162038049863,0.5742898589883192,0.6198745839845664,-3.1500635354960087,46.61328423768284,0.6334908342819517,0.6974853210023567,7.50643555336417,0.1612347904934396,0.9050151230589975,0.7489650966165647,0.8530568828154454,0.7475598484072813,0.771213474178546,0.6652178537234659,2.1720374434416527,26.00121314413489,8.50643555336417,0.4474617944658024,26.196592017856698
1106,0.022423379123211,0.086766317486763,0.770548462867737,0.02728583291173,0.203040897846222,505.3333333333333,1,1,GN13641,1569,67,106,0.9316002506884656,3.2289684808403005,0.743262629956007,0.683782145380974,3.2289684808403005,0.12382342293858499,0.17238957434892602,0.8321199747598806,1.052991319018239,0.7975858588349892,0.5829023897768835,0.6257001212119795,-3.3102047925267226,46.97497718036174,0.6491463734282181,0.7016902495513041,7.880732583646774,0.1659953362167646,0.912127274905335,0.7579530164876765,0.8590418272653334,0.7556634856680617,0.7759824775862241,0.6721441176178518,2.183650235187701,28.051695342376053,8.880732583646774,0.47698571407955165,28.23987324706087
1107,0.023073443211615,0.089184138923883,0.76879295706749,0.028428197838366,0.205613881349564,512.0,1,2,GN07560,1405,66,104,0.9286817775383215,3.1784682856859234,0.7403647592291239,0.679608818143607,3.1784682856859234,0.12686663679778498,0.1762512987479556,0.8291943443051419,1.049616407321373,0.7921060146230763,0.5779711856628832,0.6223565484346263,-3.219945695027077,46.85212319716812,0.6426555124952544,0.6993218379269897,7.620287938460004,0.16392966097779973,0.9082177967379144,0.7538576378746488,0.8560969998398478,0.7506851405849385,0.7734521488944107,0.6676071797880277,2.1782726115064555,26.85102785093984,8.620287938460004,0.46009164435791994,27.04332372521855
1108,0.018613334745169,0.071057960391045,0.675666153430939,0.025737855583429,0.170793026685715,577.3333333333334,1,2,SW21306,1595,68,108,0.9266104691371909,3.48055931345744,0.64992829784751,0.6046081930398941,3.48055931345744,0.097764730453492,0.13278969302773644,0.7760350281875279,0.983655217645518,0.8096808203304255,0.5964530110898499,0.643693365179906,-2.6276249135456307,40.808502063155245,0.5796708430715389,0.6329396378122677,8.508662361157345,0.1432250969265765,0.8932620724151802,0.6578488672002157,0.8114609568941483,0.727436230281607,0.7544988078139643,0.6668050224134615,2.0643927511570563,26.056670207201087,9.508662361157345,0.44830391667517167,26.251843369031814
1109,0.025965642184019,0.097859598696232,0.809416651725769,0.030487252399325,0.221285626292229,535.9999999999999,1,2,GN08581,1409,67,107,0.9274029987249962,3.082473993010342,0.778929399326444,0.7115570530295371,3.082473993010342,0.13926630280911997,0.19444374814629697,0.8499302681575732,1.0730314797159948,0.7842782754409926,0.5706119390407228,0.6152793767382749,-3.426883082471919,49.43065781146292,0.658053826607183,0.7277161133098239,7.271203464039292,0.16420018483591886,0.9110695461442685,0.7902905314293517,0.8719984286877518,0.7584406965045015,0.7790042584222125,0.6667037261891543,2.2229631616577477,26.355270729797585,8.271203464039292,0.4527946054999154,26.549347285349004
1110,0.021867588162422,0.094400562345982,0.767799317836761,0.027978612110019,0.217478826642036,386.6666666666667,1,2,Nanjing 7840 - Pl.4,74,68,107,0.9296823622341722,2.904062628919851,0.7398207057267421,0.673398755490779,2.904062628919851,0.138954924419523,0.1941854298114784,0.8293360364350448,1.0497721873553316,0.7810239492819835,0.5585432847349309,0.6007893743328248,-3.2788862765622775,47.04612035304304,0.6608387419332398,0.6958366056364029,7.133418898742832,0.1866954179360126,0.9093801922658027,0.7537449557583912,0.8564207129501673,0.741519763678632,0.7740508360220633,0.6587740505021313,2.178284069984027,27.25147349109505,8.133418898742832,0.46584572350660763,27.442366148026906
