Plot_ID,Blue,Green,NIR,Red,RedEdge,GrainYield,Replicates,Block,Name,Line,Maturity_Date,Days2Heading,Days2Maturity,Lodging,NDVI,MTCI,DVI,GDVI,MTCI_CI,EXG,EXGR,RDVI,TDVI,GNDVI,NDRE,SCCI,EVI,TVI,VARI,GARI,GCI,GLI,NLI,MNLI,SAVI,GSAVI,OSAVI,GOSAVI,MSAVI2,MSR,GRVI,WDRVI,SR
1378,0.042142214253545,0.081472557038069,0.281642228364944,0.133775107562542,0.170552149415016,740.0,1.0,36.0,GN04528,53.0,2020-08-12,67,89.0,0.0,0.3559483632821074,3.020636607902027,0.14786712080240202,0.20016967132687502,3.020636607902027,-0.012972207739949004,-0.11878480128943877,0.22941896092706168,0.26265666957003514,0.5512572866034942,0.24566886367610916,0.6901811864250769,-0.2012262957115539,6.779925227165203,-0.30214271370202117,0.7849446968114586,2.456896881649896,-0.2787112254840076,-0.25552986279698264,-0.1145413489780869,0.24229460432806657,0.34787320535832916,0.25697369816650123,0.3826496151751135,1.001830690549171,1.4161513874769955,3.456896881649896,-0.6521632790861287,2.105341072017242
1379,0.046882633119822,0.09263426810503,0.320474803447723,0.141425937414169,0.196620926260948,729.3333333333334,1.0,36.0,GN12625,1530.0,2020-08-16,68,93.0,0.0,0.3876349401376896,2.243933367403928,0.179048866033554,0.227840535342693,2.243933367403928,-0.003040034323930997,-0.10840207859873757,0.2634494191806805,0.3113425056432391,0.5515263426346674,0.2395182749943683,0.6178965056898389,-0.2381348244301503,8.79126518964768,-0.26067048890362354,0.7776227048948601,2.4595707398947035,-0.25610322662119217,-0.15861152620048208,-0.0780545788522729,0.2792110325330254,0.37428256235903024,0.28790585742896885,0.39755178665274526,1.07962869064034,1.6017205596895825,3.4595707398947035,-0.63051998676471,2.2660256619633032
1380,0.055283796042204,0.105972781777382,0.340462505817413,0.175951823592186,0.214335680007935,534.6666666666666,1.0,36.0,DH20070,93.0,2020-08-10,65,87.0,80.0,0.3185633567010178,3.2859341813744356,0.164510682225227,0.234489724040031,3.2859341813744356,-0.019290056079626014,-0.15964982733130445,0.22892591627607997,0.2773060634901495,0.5252490798909797,0.22733820879721311,0.7136357776722496,-0.1930988144875361,7.071479260921459,-0.30876628980672693,0.8991223070158546,2.2127353845690845,-0.28264475706213504,-0.2057005418451241,-0.1137258033671561,0.2427809370625251,0.3716414536422457,0.24320993076657377,0.38666899640693597,1.0666320365533664,1.2160860501794217,3.2127353845690845,-0.6757470208651241,1.9349757158898402
1381,0.03823359310627,0.081655990332365,0.301649317145348,0.109674729406834,0.178367890417576,745.3333333333334,1.0,36.0,GONDO,30.0,2020-08-18,72,95.0,0.0,0.46672347349417476,1.7946681287310922,0.191974587738514,0.219993326812983,1.7946681287310922,0.01540365815162599,-0.05648497268557656,0.29933099808060554,0.34401640926361826,0.5739375962744121,0.2568270986652315,0.5502767982558671,-0.2920829961023618,10.39772570133208,-0.1830128343404361,0.6582923324648771,2.694148046181823,-0.21287920969244042,-0.09310158199405343,-0.03999564231139671,0.31598187570844755,0.3735854267215536,0.3360169922779191,0.40491657965628725,1.0946804551006726,2.1474205692262918,3.694148046181823,-0.5685783064311886,2.750399465554111
1382,0.039046032354236,0.078478198498487,0.280584901571274,0.12050274014473,0.16950686275959,661.3333333333334,1.0,36.0,Pfau/Milan,17.0,2020-08-16,68,93.0,0.0,0.3991201542427292,2.266708041784238,0.16008216142654402,0.20210670307278703,2.266708041784238,-0.0025923755019920044,-0.09281801320612698,0.2527687024931523,0.2871600215353091,0.562872383805299,0.24678976069873199,0.6183344992110926,-0.23062914673228052,7.92394801974292,-0.2627602855521125,0.726243462997488,2.57532291693321,-0.2561429695748428,-0.20968087967101648,-0.0896160398311616,0.2664815618628756,0.35289614300109284,0.28530687458550374,0.3893682734249926,1.0234445334109243,1.673113008536896,3.57532291693321,-0.6222636269218269,2.3284524587098776
1383,0.026465429924428,0.052578683942556,0.237315982580185,0.097222596406937,0.129110030829906,,,,Bastian,,,66,,,0.41876601077641584,3.393372772327418,0.14009338617324799,0.184737298637629,3.393372772327418,-0.01853065844625301,-0.1020636094734088,0.2422113714587549,0.2599395218595972,0.6372566313604019,0.29530095514583116,0.7051693488645998,-0.2267601976050932,6.619846671819639,-0.36197028123226227,0.7199585832855601,3.5135397995024142,-0.3107309309513256,-0.2664017759337847,-0.09388169512964427,0.25180391242657546,0.35081379796665035,0.2832810060241955,0.4106234467402627,0.9613600237670306,1.8008958428569053,4.513539799502414,-0.607593629575968,2.4409549976105356
1384,0.042601972818375,0.077114298939705,0.284070760011673,0.087463364005089,0.151510804891586,,3.0,3.0,RB07,1331.0,,63,,,0.5291772230259902,2.0697150937694113,0.19660739600658397,0.20695646107196797,2.0697150937694113,0.02416326105594601,-0.021171149611473573,0.3225525629182556,0.36078711310878203,0.5729928631954514,0.30432866264560127,0.5750978110988242,-0.3150306755057955,11.382481157779678,-0.08484530855827038,0.49437121320348537,2.6837624658143544,-0.18625454651046305,-0.040242536810646386,-0.015192106143934462,0.3383815801160805,0.3604738474979498,0.36988668671135766,0.39708824632917034,1.0974482391151579,2.693001891764326,3.6837624658143544,-0.509675185497984,3.247882850642979
1385,0.057033058255911,0.089082084596157,0.243959486484528,0.123186215758324,0.15401802957058,,3.0,3.0,QUARNA,62.0,,67,,,0.3289518847378945,2.917163987225275,0.120773270726204,0.154877401888371,2.917163987225275,-0.0020551048219209916,-0.0854337222874176,0.19932033270929683,0.2192534103127209,0.46503924836112825,0.2259963271429982,0.6870194020109347,-0.15701922863510132,5.882230997085561,-0.2196932262360362,0.605014436820027,1.7385920254391127,-0.2543007807577551,-0.3484900494014299,-0.13989253666201734,0.2089151864798962,0.27887696232395504,0.22910794911605797,0.3141264570224763,0.9294127723965695,1.2698171265506142,2.7385920254391127,-0.6693916402904772,1.980412215626025
1386,0.047078071162105,0.078379072248936,0.23528441041708,0.098763503134251,0.142139948904514,,3.0,3.0,Filin,16.0,,69,,,0.40868660376126165,2.147351168555672,0.136520907282829,0.156905338168144,2.147351168555672,0.010916570201516006,-0.04897326193749938,0.23620809880236002,0.2531984027045605,0.5002346362876241,0.24678974531476888,0.6038606184873473,-0.19954737587892624,7.37587720155714,-0.15672554942942615,0.5248963736048977,2.001877971581553,-0.22294304276368287,-0.28162544603529194,-0.09953357088018053,0.2455270945434004,0.28925718342557505,0.2763313102599403,0.3312590983054086,0.9532668300814325,1.7344106018927832,3.001877971581553,-0.6152086517186405,2.3823011836392003
1401,0.066278763115406,0.105427641421556,0.28428453207016,0.154739461839199,0.183289185166359,,1.0,4.0,Saar,14.0,,65,,,0.29507514857538036,3.5375245408323055,0.129545070230961,0.17885689064860402,3.5375245408323055,-0.010162942111493004,-0.12137054726481562,0.19551350553250513,0.22657079945615816,0.45894612181624833,0.21599876806743867,0.7320127401791658,-0.15124984939817518,5.800231397151941,-0.2543310256855892,0.7151227838691745,1.6964895376293079,-0.2676491645030236,-0.31381668721955797,-0.15074647692569634,0.20693571900911234,0.30154171648568995,0.216260235897267,0.3253646167457474,0.9719015798724173,1.0994068735285492,2.696489537629308,-0.6895913435511537,1.8371818584039066
