Plot_ID,GrainYield,iBlock,Entry,Pedigree,Replicates,Line,Days2Heading,Days2Maturity,Name,Blue,Green,Red,RedEdge,NIR,NDVI,MTCI,DVI,GDVI,MTCI_CI,EXG,EXGR,RDVI,TDVI,GNDVI,NDRE,SCCI,EVI,TVI,VARI,GARI,GCI,GLI,NLI,MNLI,SAVI,GSAVI,OSAVI,GOSAVI,MSAVI2,MSR,GRVI,WDRVI,SR,Block,MEAN Average temperature at 2m altitude (TM),MEAN Maximum air temperature at 2m altitude (TX),MEAN Minimum air temperature at 2m altitude (TN),MEAN Precipitation (RR),MEAN Relative humidity in 2m - 1,MEAN Relative humidity in 2m - 2,MEAN Wind gust (FG2),MEAN Wind speed in 2m,MEDIAN Average temperature at 2m altitude (TM),MEDIAN Maximum air temperature at 2m altitude (TX),MEDIAN Minimum air temperature at 2m altitude (TN),MEDIAN Precipitation (RR),MEDIAN Relative humidity in 2m - 1,MEDIAN Relative humidity in 2m - 2,MEDIAN Wind gust (FG2),MEDIAN Wind speed in 2m,MODE Average temperature at 2m altitude (TM),MODE Maximum air temperature at 2m altitude (TX),MODE Minimum air temperature at 2m altitude (TN),MODE Precipitation (RR),MODE Relative humidity in 2m - 1,MODE Relative humidity in 2m - 2,MODE Wind gust (FG2),MODE Wind speed in 2m,SUM Average temperature at 2m altitude (TM),SUM Maximum air temperature at 2m altitude (TX),SUM Minimum air temperature at 2m altitude (TN),SUM Precipitation (RR),SUM Relative humidity in 2m - 1,SUM Relative humidity in 2m - 2,SUM Wind gust (FG2),SUM Wind speed in 2m,MIN Average temperature at 2m altitude (TM),MIN Maximum air temperature at 2m altitude (TX),MIN Minimum air temperature at 2m altitude (TN),MIN Precipitation (RR),MIN Relative humidity in 2m - 1,MIN Relative humidity in 2m - 2,MIN Wind gust (FG2),MIN Wind speed in 2m,MAX Average temperature at 2m altitude (TM),MAX Maximum air temperature at 2m altitude (TX),MAX Minimum air temperature at 2m altitude (TN),MAX Precipitation (RR),MAX Relative humidity in 2m - 1,MAX Relative humidity in 2m - 2,MAX Wind gust (FG2),MAX Wind speed in 2m,STD_DEV Average temperature at 2m altitude (TM),STD_DEV Maximum air temperature at 2m altitude (TX),STD_DEV Minimum air temperature at 2m altitude (TN),STD_DEV Precipitation (RR),STD_DEV Relative humidity in 2m - 1,STD_DEV Relative humidity in 2m - 2,STD_DEV Wind gust (FG2),STD_DEV Wind speed in 2m,QUANTILE_25 Average temperature at 2m altitude (TM),QUANTILE_25 Maximum air temperature at 2m altitude (TX),QUANTILE_25 Minimum air temperature at 2m altitude (TN),QUANTILE_25 Precipitation (RR),QUANTILE_25 Relative humidity in 2m - 1,QUANTILE_25 Relative humidity in 2m - 2,QUANTILE_25 Wind gust (FG2),QUANTILE_25 Wind speed in 2m,QUANTILE_50 Average temperature at 2m altitude (TM),QUANTILE_50 Maximum air temperature at 2m altitude (TX),QUANTILE_50 Minimum air temperature at 2m altitude (TN),QUANTILE_50 Precipitation (RR),QUANTILE_50 Relative humidity in 2m - 1,QUANTILE_50 Relative humidity in 2m - 2,QUANTILE_50 Wind gust (FG2),QUANTILE_50 Wind speed in 2m,QUANTILE_75 Average temperature at 2m altitude (TM),QUANTILE_75 Maximum air temperature at 2m altitude (TX),QUANTILE_75 Minimum air temperature at 2m altitude (TN),QUANTILE_75 Precipitation (RR),QUANTILE_75 Relative humidity in 2m - 1,QUANTILE_75 Relative humidity in 2m - 2,QUANTILE_75 Wind gust (FG2),QUANTILE_75 Wind speed in 2m,Staur_Env,Vollebekk_Env
101,562.8306730661905,,,,1.0,1521.0,45.0,91.0,GN11527,-0.8914409229854195,-2.496192484289874,-1.5757351871002498,-5.080712366004933,-18.959833037646288,-31.52421190620405,-155.74336367455328,-17.384097850546038,-16.463640553356413,-155.74336367455328,-2.525208858494079,-2.815372080843604,-23.39319745424853,-29.084631347600826,-28.48575684443003,-21.693059931317634,-25.22820218147404,49.49824900293239,-1079.864162920347,-13.474818386234679,-19.525651340026606,-264.5435225539866,-0.8218186941729289,-27.224074492701543,-15.248712959804127,-24.765069535938217,-22.8862532436865,-24.410953219667565,-22.29443233219846,-64.51019481210409,-558.1255477698232,-301.5435225539866,-6.089392394852441,-568.3353707667271,1.0,14.635135135135133,19.89189189189189,9.507207207207207,3.2342342342342327,71.64601524601525,89.6615978615978,15.269369369369372,6.787829912023455,14.8,19.3,9.8,0.2,74.8632478632478,91.58656898656885,15.5,6.787829912023458,9.7,19.3,14.0,0.0,74.8632478632478,91.58656898656885,15.2,6.787829912023458,1624.4999999999998,2208.0,1055.3,358.99999999999983,7952.707692307693,9952.437362637356,1694.9000000000003,753.4491202346036,6.4,11.0,0.5,0.0,49.3,70.7,9.0,6.787829912023458,24.4,30.7,18.8,30.2,88.8,95.7,20.9,6.787829912023458,3.465797786910584,4.301123217679416,3.464435194993727,6.732438373555783,9.442920487636448,5.175969961114266,2.464024527356996,2.6766193812273226e-15,12.7,16.75,7.25,0.0,64.55,88.25,14.0,6.787829912023458,14.8,19.3,9.8,0.2,74.8632478632478,91.58656898656885,15.5,6.787829912023458,16.6,22.1,11.7,3.0,77.1,93.1,16.9,6.787829912023458,1,0
102,494.11764705882365,,,,1.0,1622.0,49.0,104.0,GN14506,-0.7067471899549529,-1.980984314178151,-1.0895591963457698,-4.1237910075245034,-18.06245896270764,-32.86816811734372,-183.55425670894846,-16.97289976636187,-16.08147464852949,-183.55425670894846,-2.1656622420555793,-2.621263681349653,-23.59442430897802,-29.005970189858644,-29.752745258187048,-23.509077642078054,-26.335267682134536,52.045886469992986,-1054.0309906950074,-15.398876725138102,-17.879411769192775,-319.74213223519257,-1.4182595768166362,-29.06854140536444,-15.110621696526053,-24.996167906402928,-23.136105279391526,-25.055468855566556,-22.92433535653965,-64.21074271662772,-698.7704626537447,-356.74213223519257,-10.415193451440656,-707.6316354890805,1.0,14.635135135135133,19.89189189189189,9.507207207207207,3.2342342342342327,71.64601524601525,89.6615978615978,15.269369369369372,6.787829912023455,14.8,19.3,9.8,0.2,74.8632478632478,91.58656898656885,15.5,6.787829912023458,9.7,19.3,14.0,0.0,74.8632478632478,91.58656898656885,15.2,6.787829912023458,1624.4999999999998,2208.0,1055.3,358.99999999999983,7952.707692307693,9952.437362637356,1694.9000000000003,753.4491202346036,6.4,11.0,0.5,0.0,49.3,70.7,9.0,6.787829912023458,24.4,30.7,18.8,30.2,88.8,95.7,20.9,6.787829912023458,3.465797786910584,4.301123217679416,3.464435194993727,6.732438373555783,9.442920487636448,5.175969961114266,2.464024527356996,2.6766193812273226e-15,12.7,16.75,7.25,0.0,64.55,88.25,14.0,6.787829912023458,14.8,19.3,9.8,0.2,74.8632478632478,91.58656898656885,15.5,6.787829912023458,16.6,22.1,11.7,3.0,77.1,93.1,16.9,6.787829912023458,1,0
103,548.2754771737916,,,,1.0,1609.0,48.0,101.0,GN14529,-0.8064960983683513,-2.1207629115660813,-1.2682429401769475,-4.318234348327926,-19.073733948818624,-32.396644657364604,-186.5331258597226,-17.805491008641678,-16.952971037252546,-186.5331258597226,-2.166786784586864,-2.5120095799052193,-23.986655485465207,-29.75569930410937,-29.56684562459293,-23.426493861665964,-26.625393091125286,54.18681164382181,-1102.4302593740663,-14.024517185345168,-19.1054367036715,-308.70824728047666,-0.625270138023475,-28.51659778366985,-16.03303832351599,-25.380869353716797,-23.63510220139108,-25.04716200049223,-23.079023216783508,-65.44925865500468,-640.120099641389,-345.70824728047666,-8.724838788801025,-649.4756285867234,1.0,14.635135135135133,19.89189189189189,9.507207207207207,3.2342342342342327,71.64601524601525,89.6615978615978,15.269369369369372,6.787829912023455,14.8,19.3,9.8,0.2,74.8632478632478,91.58656898656885,15.5,6.787829912023458,9.7,19.3,14.0,0.0,74.8632478632478,91.58656898656885,15.2,6.787829912023458,1624.4999999999998,2208.0,1055.3,358.99999999999983,7952.707692307693,9952.437362637356,1694.9000000000003,753.4491202346036,6.4,11.0,0.5,0.0,49.3,70.7,9.0,6.787829912023458,24.4,30.7,18.8,30.2,88.8,95.7,20.9,6.787829912023458,3.465797786910584,4.301123217679416,3.464435194993727,6.732438373555783,9.442920487636448,5.175969961114266,2.464024527356996,2.6766193812273226e-15,12.7,16.75,7.25,0.0,64.55,88.25,14.0,6.787829912023458,14.8,19.3,9.8,0.2,74.8632478632478,91.58656898656885,15.5,6.787829912023458,16.6,22.1,11.7,3.0,77.1,93.1,16.9,6.787829912023458,1,0
104,480.00000000000006,,,,1.0,24.0,46.0,84.0,NK93604,-0.43875629394979826,-1.2588140827027121,-0.6273448874375721,-2.5477611905496014,-11.612822089876445,-19.727467770803205,-103.71691651779281,-10.985477202438874,-10.354008007173734,-103.71691651779281,-1.451526984018054,-1.8320582243081651,-14.711041312793093,-18.298446594623957,-17.67660408739049,-14.065006219057574,-15.683586641326066,34.91271909856142,-684.3873999569381,-9.60570159177684,-11.231837350289311,-180.82841924109107,-1.1826863552749385,-17.838718962534937,-10.205313823028378,-15.570082545939353,-14.285467087330021,-15.309683007014318,-13.871604542382894,-39.85664661498403,-403.35261259820567,-202.82841924109104,-6.5227114642311,-408.48064090607176,1.0,14.635135135135133,19.89189189189189,9.507207207207207,3.2342342342342327,71.64601524601525,89.6615978615978,15.269369369369372,6.787829912023455,14.8,19.3,9.8,0.2,74.8632478632478,91.58656898656885,15.5,6.787829912023458,9.7,19.3,14.0,0.0,74.8632478632478,91.58656898656885,15.2,6.787829912023458,1624.4999999999998,2208.0,1055.3,358.99999999999983,7952.707692307693,9952.437362637356,1694.9000000000003,753.4491202346036,6.4,11.0,0.5,0.0,49.3,70.7,9.0,6.787829912023458,24.4,30.7,18.8,30.2,88.8,95.7,20.9,6.787829912023458,3.465797786910584,4.301123217679416,3.464435194993727,6.732438373555783,9.442920487636448,5.175969961114266,2.464024527356996,2.6766193812273226e-15,12.7,16.75,7.25,0.0,64.55,88.25,14.0,6.787829912023458,14.8,19.3,9.8,0.2,74.8632478632478,91.58656898656885,15.5,6.787829912023458,16.6,22.1,11.7,3.0,77.1,93.1,16.9,6.787829912023458,1,0
105,339.48788927335636,,,,1.0,94.0,44.0,94.0,DH20097,-1.1539677165784885,-3.0034625249256957,-1.7148696529693792,-5.741359211525934,-20.68654489435907,-31.415006261937467,-147.8702050938116,-18.97167524138969,-17.68308236943337,-147.8702050938116,-3.1380876803035234,-3.7407326910720884,-24.410539970008514,-30.72724528545098,-27.689785721349246,-21.151252165090902,-24.691254294809333,52.00913824292576,-1189.844229361634,-15.002430243213231,-20.08299244583958,-239.52108062083522,-0.7969242391659305,-27.650798625073385,-17.250383079594712,-25.77378578018832,-23.29097300889877,-24.831837182902383,-22.139405139835144,-67.17017345778501,-522.1567294208651,-276.5210806208352,-5.190130301667827,-532.5420992108428,1.0,14.635135135135133,19.89189189189189,9.507207207207207,3.2342342342342327,71.64601524601525,89.6615978615978,15.269369369369372,6.787829912023455,14.8,19.3,9.8,0.2,74.8632478632478,91.58656898656885,15.5,6.787829912023458,9.7,19.3,14.0,0.0,74.8632478632478,91.58656898656885,15.2,6.787829912023458,1624.4999999999998,2208.0,1055.3,358.99999999999983,7952.707692307693,9952.437362637356,1694.9000000000003,753.4491202346036,6.4,11.0,0.5,0.0,49.3,70.7,9.0,6.787829912023458,24.4,30.7,18.8,30.2,88.8,95.7,20.9,6.787829912023458,3.465797786910584,4.301123217679416,3.464435194993727,6.732438373555783,9.442920487636448,5.175969961114266,2.464024527356996,2.6766193812273226e-15,12.7,16.75,7.25,0.0,64.55,88.25,14.0,6.787829912023458,14.8,19.3,9.8,0.2,74.8632478632478,91.58656898656885,15.5,6.787829912023458,16.6,22.1,11.7,3.0,77.1,93.1,16.9,6.787829912023458,1,0
106,632.070543587454,,,,1.0,1590.0,46.0,97.0,SW11230,-0.82081086884053,-2.1693736441363214,-1.280036681257315,-4.354365259379488,-18.75997701316244,-32.50754900521394,-191.49509776823805,-17.479940331905127,-16.59060336902612,-191.49509776823805,-2.237899738174797,-2.6152220285508765,-23.782295269397324,-29.384923617554378,-29.526610295023502,-23.55405049791363,-26.62667579961419,52.259363780979044,-1084.3698984294679,-14.776181297516613,-18.6126135672965,-315.8129289253342,-0.89259050343311,-28.802765880011375,-15.642980148014283,-25.150221924520643,-23.332038866168915,-24.972336132912815,-22.91303338702959,-64.95063197411903,-673.5361103139488,-352.8129289253342,-9.375439334644678,-682.7398231095033,1.0,14.635135135135133,19.89189189189189,9.507207207207207,3.2342342342342327,71.64601524601525,89.6615978615978,15.269369369369372,6.787829912023455,14.8,19.3,9.8,0.2,74.8632478632478,91.58656898656885,15.5,6.787829912023458,9.7,19.3,14.0,0.0,74.8632478632478,91.58656898656885,15.2,6.787829912023458,1624.4999999999998,2208.0,1055.3,358.99999999999983,7952.707692307693,9952.437362637356,1694.9000000000003,753.4491202346036,6.4,11.0,0.5,0.0,49.3,70.7,9.0,6.787829912023458,24.4,30.7,18.8,30.2,88.8,95.7,20.9,6.787829912023458,3.465797786910584,4.301123217679416,3.464435194993727,6.732438373555783,9.442920487636448,5.175969961114266,2.464024527356996,2.6766193812273226e-15,12.7,16.75,7.25,0.0,64.55,88.25,14.0,6.787829912023458,14.8,19.3,9.8,0.2,74.8632478632478,91.58656898656885,15.5,6.787829912023458,16.6,22.1,11.7,3.0,77.1,93.1,16.9,6.787829912023458,1,0
107,518.9436321017971,,,,1.0,51.0,46.0,106.0,SW46375,-0.8053760883504538,-2.1121788106280386,-1.1263151488587484,-4.225328310515172,-19.030412525905373,-33.00530615370378,-193.60248465394608,-17.904097377046632,-16.91823371527734,-193.60248465394608,-2.292666384046875,-2.828003986272666,-24.266416592534256,-30.040968536201216,-29.767774869225924,-23.957045925861074,-26.764099678037088,54.24931517941288,-1113.6803890935694,-16.006049337527674,-18.336723303111846,-318.86314900139314,-1.2205986778289488,-29.709222971213894,-16.351092559349542,-25.672426499074337,-23.669492440336626,-25.42662577228764,-23.173163212602972,-65.94846592423576,-695.1068499397912,-355.86314900139314,-10.691824772432255,-703.8570302550929,2.0,14.635135135135133,19.89189189189189,9.507207207207207,3.2342342342342327,71.64601524601525,89.6615978615978,15.269369369369372,6.787829912023455,14.8,19.3,9.8,0.2,74.8632478632478,91.58656898656885,15.5,6.787829912023458,9.7,19.3,14.0,0.0,74.8632478632478,91.58656898656885,15.2,6.787829912023458,1624.4999999999998,2208.0,1055.3,358.99999999999983,7952.707692307693,9952.437362637356,1694.9000000000003,753.4491202346036,6.4,11.0,0.5,0.0,49.3,70.7,9.0,6.787829912023458,24.4,30.7,18.8,30.2,88.8,95.7,20.9,6.787829912023458,3.465797786910584,4.301123217679416,3.464435194993727,6.732438373555783,9.442920487636448,5.175969961114266,2.464024527356996,2.6766193812273226e-15,12.7,16.75,7.25,0.0,64.55,88.25,14.0,6.787829912023458,14.8,19.3,9.8,0.2,74.8632478632478,91.58656898656885,15.5,6.787829912023458,16.6,22.1,11.7,3.0,77.1,93.1,16.9,6.787829912023458,1,0
108,443.1244558544481,,,,1.0,27.0,46.0,120.0,Kariega,-0.771718318236255,-2.0859623118087445,-1.1857934115196742,-4.262361538579361,-18.57203742079141,-32.68564548642646,-182.17529588704997,-17.386244009271742,-16.486075108982668,-182.17529588704997,-2.21441289386156,-2.6402644295427615,-23.77617746277573,-29.30392520097542,-29.64641626913665,-23.481805140864296,-26.50886328400309,52.03059203793106,-1079.1813965678675,-14.313187385424557,-18.381578770166655,-309.55377142227013,-1.0091872846336452,-28.903629961736296,-15.557086740317166,-25.14069791290261,-23.29499543638761,-25.0353506485817,-22.940878550942916,-64.66126492898556,-639.216325828497,-346.55377142227013,-9.291543008710859,-648.3356918494944,2.0,14.635135135135133,19.89189189189189,9.507207207207207,3.2342342342342327,71.64601524601525,89.6615978615978,15.269369369369372,6.787829912023455,14.8,19.3,9.8,0.2,74.8632478632478,91.58656898656885,15.5,6.787829912023458,9.7,19.3,14.0,0.0,74.8632478632478,91.58656898656885,15.2,6.787829912023458,1624.4999999999998,2208.0,1055.3,358.99999999999983,7952.707692307693,9952.437362637356,1694.9000000000003,753.4491202346036,6.4,11.0,0.5,0.0,49.3,70.7,9.0,6.787829912023458,24.4,30.7,18.8,30.2,88.8,95.7,20.9,6.787829912023458,3.465797786910584,4.301123217679416,3.464435194993727,6.732438373555783,9.442920487636448,5.175969961114266,2.464024527356996,2.6766193812273226e-15,12.7,16.75,7.25,0.0,64.55,88.25,14.0,6.787829912023458,14.8,19.3,9.8,0.2,74.8632478632478,91.58656898656885,15.5,6.787829912023458,16.6,22.1,11.7,3.0,77.1,93.1,16.9,6.787829912023458,1,0
109,533.0094876660343,,,,1.0,1587.0,47.0,106.0,SW01074,-0.7407517187700197,-2.068604125224403,-1.0300936820089943,-4.187062083658121,-20.12816847207704,-33.53384822395548,-203.5412218570779,-19.09807479006804,-18.059564346852635,-203.5412218570779,-2.366362849669792,-2.992835820081604,-25.261232414754254,-31.471254811207462,-30.26896920612628,-24.632096705837995,-27.08145505175727,62.97983375858252,-1187.4249051326988,-17.604042711009843,-19.300888573881892,-354.9342001979557,-2.165808204409479,-30.965556522285436,-18.056347686351785,-26.68959312979382,-24.611662337875487,-26.116118688352262,-23.81070399268175,-68.44806282753089,-847.5669248413585,-391.9342001979556,-13.409559777151724,-855.636414880118,2.0,14.635135135135133,19.89189189189189,9.507207207207207,3.2342342342342327,71.64601524601525,89.6615978615978,15.269369369369372,6.787829912023455,14.8,19.3,9.8,0.2,74.8632478632478,91.58656898656885,15.5,6.787829912023458,9.7,19.3,14.0,0.0,74.8632478632478,91.58656898656885,15.2,6.787829912023458,1624.4999999999998,2208.0,1055.3,358.99999999999983,7952.707692307693,9952.437362637356,1694.9000000000003,753.4491202346036,6.4,11.0,0.5,0.0,49.3,70.7,9.0,6.787829912023458,24.4,30.7,18.8,30.2,88.8,95.7,20.9,6.787829912023458,3.465797786910584,4.301123217679416,3.464435194993727,6.732438373555783,9.442920487636448,5.175969961114266,2.464024527356996,2.6766193812273226e-15,12.7,16.75,7.25,0.0,64.55,88.25,14.0,6.787829912023458,14.8,19.3,9.8,0.2,74.8632478632478,91.58656898656885,15.5,6.787829912023458,16.6,22.1,11.7,3.0,77.1,93.1,16.9,6.787829912023458,1,0
110,473.97789931912047,,,,1.0,6.0,48.0,106.0,T9040,-0.7473217990073813,-2.0183743998284482,-0.9922922940339923,-4.06565275852934,-18.988986883488383,-33.39969509762713,-190.2012550275756,-17.99669458945439,-16.970612483659934,-190.2012550275756,-2.297134706615523,-2.926299894796383,-24.48519783445244,-30.294905237226548,-29.97715251212983,-24.1934802136206,-26.749592536500415,56.6808380893942,-1120.8449595990417,-17.467721043242634,-18.081121519207795,-324.85858098509374,-1.9280393862515472,-30.339731484282087,-16.607968256134235,-25.918871262987903,-23.814111927995523,-25.706380808183294,-23.329861646707567,-66.36591694870387,-761.041836356802,-361.85858098509374,-12.33488562746494,-769.3472430096858,2.0,14.635135135135133,19.89189189189189,9.507207207207207,3.2342342342342327,71.64601524601525,89.6615978615978,15.269369369369372,6.787829912023455,14.8,19.3,9.8,0.2,74.8632478632478,91.58656898656885,15.5,6.787829912023458,9.7,19.3,14.0,0.0,74.8632478632478,91.58656898656885,15.2,6.787829912023458,1624.4999999999998,2208.0,1055.3,358.99999999999983,7952.707692307693,9952.437362637356,1694.9000000000003,753.4491202346036,6.4,11.0,0.5,0.0,49.3,70.7,9.0,6.787829912023458,24.4,30.7,18.8,30.2,88.8,95.7,20.9,6.787829912023458,3.465797786910584,4.301123217679416,3.464435194993727,6.732438373555783,9.442920487636448,5.175969961114266,2.464024527356996,2.6766193812273226e-15,12.7,16.75,7.25,0.0,64.55,88.25,14.0,6.787829912023458,14.8,19.3,9.8,0.2,74.8632478632478,91.58656898656885,15.5,6.787829912023458,16.6,22.1,11.7,3.0,77.1,93.1,16.9,6.787829912023458,1,0
