Plot_ID,GrainYield,Replicates,Block,Name,Line,Maturity_Date,Days2Heading,Days2Maturity,Blue,Green,Red,RedEdge,NIR,NDVI,MTCI,DVI,GDVI,MTCI_CI,EXG,EXGR,RDVI,TDVI,GNDVI,NDRE,SCCI,EVI,TVI,VARI,GARI,GCI,GLI,NLI,MNLI,SAVI,GSAVI,OSAVI,GOSAVI,MSAVI2,MSR,GRVI,WDRVI,SR,Lodging,MEAN Average temperature at 2m altitude (TM),MEAN Maximum air temperature at 2m altitude (TX),MEAN Minimum air temperature at 2m altitude (TN),MEAN Precipitation (RR),MEAN Relative humidity in 2m,MEAN Relative humidity in 2m.1,MEAN Wind gust (FG2),MEAN Wind speed in 2m,MEDIAN Average temperature at 2m altitude (TM),MEDIAN Maximum air temperature at 2m altitude (TX),MEDIAN Minimum air temperature at 2m altitude (TN),MEDIAN Precipitation (RR),MEDIAN Relative humidity in 2m,MEDIAN Relative humidity in 2m.1,MEDIAN Wind gust (FG2),MEDIAN Wind speed in 2m,MODE Average temperature at 2m altitude (TM),MODE Maximum air temperature at 2m altitude (TX),MODE Minimum air temperature at 2m altitude (TN),MODE Precipitation (RR),MODE Relative humidity in 2m,MODE Relative humidity in 2m.1,MODE Wind gust (FG2),MODE Wind speed in 2m,SUM Average temperature at 2m altitude (TM),SUM Maximum air temperature at 2m altitude (TX),SUM Minimum air temperature at 2m altitude (TN),SUM Precipitation (RR),SUM Relative humidity in 2m,SUM Relative humidity in 2m.1,SUM Wind gust (FG2),SUM Wind speed in 2m,MIN Average temperature at 2m altitude (TM),MIN Maximum air temperature at 2m altitude (TX),MIN Minimum air temperature at 2m altitude (TN),MIN Precipitation (RR),MIN Relative humidity in 2m,MIN Relative humidity in 2m.1,MIN Wind gust (FG2),MIN Wind speed in 2m,MAX Average temperature at 2m altitude (TM),MAX Maximum air temperature at 2m altitude (TX),MAX Minimum air temperature at 2m altitude (TN),MAX Precipitation (RR),MAX Relative humidity in 2m,MAX Relative humidity in 2m.1,MAX Wind gust (FG2),MAX Wind speed in 2m,STD_DEV Average temperature at 2m altitude (TM),STD_DEV Maximum air temperature at 2m altitude (TX),STD_DEV Minimum air temperature at 2m altitude (TN),STD_DEV Precipitation (RR),STD_DEV Relative humidity in 2m,STD_DEV Relative humidity in 2m.1,STD_DEV Wind gust (FG2),STD_DEV Wind speed in 2m,QUANTILE_25 Average temperature at 2m altitude (TM),QUANTILE_25 Maximum air temperature at 2m altitude (TX),QUANTILE_25 Minimum air temperature at 2m altitude (TN),QUANTILE_25 Precipitation (RR),QUANTILE_25 Relative humidity in 2m,QUANTILE_25 Relative humidity in 2m.1,QUANTILE_25 Wind gust (FG2),QUANTILE_25 Wind speed in 2m,QUANTILE_50 Average temperature at 2m altitude (TM),QUANTILE_50 Maximum air temperature at 2m altitude (TX),QUANTILE_50 Minimum air temperature at 2m altitude (TN),QUANTILE_50 Precipitation (RR),QUANTILE_50 Relative humidity in 2m,QUANTILE_50 Relative humidity in 2m.1,QUANTILE_50 Wind gust (FG2),QUANTILE_50 Wind speed in 2m,QUANTILE_75 Average temperature at 2m altitude (TM),QUANTILE_75 Maximum air temperature at 2m altitude (TX),QUANTILE_75 Minimum air temperature at 2m altitude (TN),QUANTILE_75 Precipitation (RR),QUANTILE_75 Relative humidity in 2m,QUANTILE_75 Relative humidity in 2m.1,QUANTILE_75 Wind gust (FG2),QUANTILE_75 Wind speed in 2m,Staur_Env,Vollebekk_Env
1378,740.0,1.0,36.0,GN04528,53.0,2020-08-12,67,89.0,1.1287476166635126,2.7663570461350186,2.0868688409941063,6.460166989697427,20.20558639907736,44.96253810676659,182.3188491255066,18.118717558083254,17.439229352942345,182.3188491255066,2.3170976346124164,2.1618383033556885,28.017959913372433,32.435923768393906,41.800762406865005,28.776560449537147,34.64099745896353,-51.55963788753424,1114.3025816906318,20.070271627139835,23.055000486464916,430.9500733986179,-0.0584419906317164,31.243299555478313,12.688464203504681,29.15810477656726,27.616907167447003,31.043302826923494,29.153677942993898,78.77487308151568,996.2669768456774,485.9500733986179,8.795482177004708,1012.6239574513542,0.0,15.25135135135136,21.47117117117117,8.809909909909912,2.8135135135135116,70.03873873873872,94.10000000000002,14.667567567567565,15.643243243243244,15.0,21.0,9.1,0.0,71.9,96.4,15.1,16.4,13.2,21.2,9.1,0.0,77.4,97.5,14.7,16.5,1692.8999999999999,2383.3,977.9,312.29999999999995,7774.299999999998,10445.1,1628.1,1736.4,6.0,10.0,-1.7,0.0,40.0,65.9,6.6,7.4,23.3,31.3,16.7,42.4,93.9,99.8,18.3,19.2,3.571627204023523,4.329106298436358,4.160877419595643,6.842321329736066,13.409339833056473,6.6730530017104135,2.611379369471662,2.8093228437285087,12.95,18.5,5.95,0.0,62.4,92.5,13.649999999999999,14.4,15.0,21.0,9.1,0.0,71.9,96.4,15.1,16.4,18.2,24.9,12.1,1.2,79.5,98.2,16.6,17.65,0,1
1379,729.3333333333334,1.0,36.0,GN12625,1530.0,2020-08-16,68,93.0,1.3017808710005019,3.341395094706162,2.5855939354126565,7.834747799242742,23.56601064331415,46.36938899131537,188.22795140407226,20.98041670790149,20.224615548607986,188.22795140407226,2.795415382999165,2.516978968127608,30.782066319945653,36.670529927999304,43.2328153983278,29.452901916373712,35.49456024745206,-60.71770235405283,1289.0570488458297,20.05303769228838,26.90840128728716,479.68394627833453,0.3226914782194302,34.87649078529207,15.692481259983376,32.2808929237198,30.618467245678808,33.40300983758901,31.422115518674417,86.95087826520954,1120.7067272558318,536.6839462783345,9.2054336382405,1137.7562587010718,0.0,15.25135135135136,21.47117117117117,8.809909909909912,2.8135135135135116,70.03873873873872,94.10000000000002,14.667567567567565,15.643243243243244,15.0,21.0,9.1,0.0,71.9,96.4,15.1,16.4,13.2,21.2,9.1,0.0,77.4,97.5,14.7,16.5,1692.8999999999999,2383.3,977.9,312.29999999999995,7774.299999999998,10445.1,1628.1,1736.4,6.0,10.0,-1.7,0.0,40.0,65.9,6.6,7.4,23.3,31.3,16.7,42.4,93.9,99.8,18.3,19.2,3.571627204023523,4.329106298436358,4.160877419595643,6.842321329736066,13.409339833056473,6.6730530017104135,2.611379369471662,2.8093228437285087,12.95,18.5,5.95,0.0,62.4,92.5,13.649999999999999,14.4,15.0,21.0,9.1,0.0,71.9,96.4,15.1,16.4,18.2,24.9,12.1,1.2,79.5,98.2,16.6,17.65,0,1
1381,745.3333333333334,1.0,36.0,GONDO,30.0,2020-08-18,72,95.0,1.0705577885512212,2.8472007338061194,1.9103979698511697,6.8782865506596895,22.39773816066898,47.848683153955896,185.7533272059405,20.487340190817804,19.550537426862853,185.7533272059405,2.713445709209844,2.886089285224328,30.912150079251646,36.35437165750578,43.90939442260695,30.19275309540202,35.401154540708774,-61.151042201511224,1266.7125220072664,22.112740808716957,24.442722372766283,468.03391770215217,1.0757679223599148,35.62954876322794,15.518251223824484,32.37877630299675,30.31923310201643,33.99082048578375,31.517660981574576,85.82264333904939,1104.232730467701,525.0339177021522,11.190129974821232,1120.1296173191092,0.0,15.25135135135136,21.47117117117117,8.809909909909912,2.8135135135135116,70.03873873873872,94.10000000000002,14.667567567567565,15.643243243243244,15.0,21.0,9.1,0.0,71.9,96.4,15.1,16.4,13.2,21.2,9.1,0.0,77.4,97.5,14.7,16.5,1692.8999999999999,2383.3,977.9,312.29999999999995,7774.299999999998,10445.1,1628.1,1736.4,6.0,10.0,-1.7,0.0,40.0,65.9,6.6,7.4,23.3,31.3,16.7,42.4,93.9,99.8,18.3,19.2,3.571627204023523,4.329106298436358,4.160877419595643,6.842321329736066,13.409339833056473,6.6730530017104135,2.611379369471662,2.8093228437285087,12.95,18.5,5.95,0.0,62.4,92.5,13.649999999999999,14.4,15.0,21.0,9.1,0.0,71.9,96.4,15.1,16.4,18.2,24.9,12.1,1.2,79.5,98.2,16.6,17.65,0,1
1382,661.3333333333334,1.0,36.0,Pfau/Milan,17.0,2020-08-16,68,93.0,1.132854923109217,2.8834284952298375,2.221857201117872,6.938495430720249,21.84250324556811,46.30653792343969,187.05424084154504,19.62064604445024,18.959074750338274,187.05424084154504,2.4121448662325826,2.1849732798974006,29.74409707803414,34.86614046849281,43.4213272712272,29.486810749408868,35.7256330525266,-57.03931012177052,1203.701614431493,18.973975994329173,25.447857952705846,455.66571863725653,-0.38504596732590274,32.57338768196237,14.03675733026428,31.131486560995626,29.648399365471224,32.76886117554223,30.980065685316166,83.66213459784966,1009.4589515893717,512.6657186372565,8.107180645848144,1026.70946783492,0.0,15.25135135135136,21.47117117117117,8.809909909909912,2.8135135135135116,70.03873873873872,94.10000000000002,14.667567567567565,15.643243243243244,15.0,21.0,9.1,0.0,71.9,96.4,15.1,16.4,13.2,21.2,9.1,0.0,77.4,97.5,14.7,16.5,1692.8999999999999,2383.3,977.9,312.29999999999995,7774.299999999998,10445.1,1628.1,1736.4,6.0,10.0,-1.7,0.0,40.0,65.9,6.6,7.4,23.3,31.3,16.7,42.4,93.9,99.8,18.3,19.2,3.571627204023523,4.329106298436358,4.160877419595643,6.842321329736066,13.409339833056473,6.6730530017104135,2.611379369471662,2.8093228437285087,12.95,18.5,5.95,0.0,62.4,92.5,13.649999999999999,14.4,15.0,21.0,9.1,0.0,71.9,96.4,15.1,16.4,18.2,24.9,12.1,1.2,79.5,98.2,16.6,17.65,0,1
1383,,,,Bastian,,,66,,0.9535978985096636,2.4285959487509228,2.1308125157944025,6.218978161706283,20.06568411551416,45.20092725542703,196.47308898332898,17.93487159971976,17.637088166763235,196.47308898332898,1.7727814831977784,1.2182399098365373,28.05412494909292,32.276824011832,44.08159682461715,29.397757926749506,36.76608277114139,-52.09192725972717,1088.0036333014464,13.334521865983769,25.716706784300662,465.0500826492111,-2.4639364641916175,28.081810967450433,11.817157743019491,29.236953503453744,28.58254933495538,31.320985808889553,30.583288526425257,79.4068923104312,916.7805266383939,522.050082649211,4.918446428854224,935.0901863095232,1.0,15.25135135135136,21.47117117117117,8.809909909909912,2.8135135135135116,70.03873873873872,94.10000000000002,14.667567567567565,15.643243243243244,15.0,21.0,9.1,0.0,71.9,96.4,15.1,16.4,13.2,21.2,9.1,0.0,77.4,97.5,14.7,16.5,1692.8999999999999,2383.3,977.9,312.29999999999995,7774.299999999998,10445.1,1628.1,1736.4,6.0,10.0,-1.7,0.0,40.0,65.9,6.6,7.4,23.3,31.3,16.7,42.4,93.9,99.8,18.3,19.2,3.571627204023523,4.329106298436358,4.160877419595643,6.842321329736066,13.409339833056473,6.6730530017104135,2.611379369471662,2.8093228437285087,12.95,18.5,5.95,0.0,62.4,92.5,13.649999999999999,14.4,15.0,21.0,9.1,0.0,71.9,96.4,15.1,16.4,18.2,24.9,12.1,1.2,79.5,98.2,16.6,17.65,0,1
1384,,3.0,3.0,RB07,1331.0,,63,,1.7060063308389497,3.18373153273326,3.147062762402419,6.136791902221731,14.410912326950992,34.644347489308934,154.986530939243,11.263849564548572,11.227180794217734,154.986530939243,1.514393972225149,0.29223763759502625,19.29509158777259,20.699823598948115,34.60377561404322,21.297588662376867,34.76965723170114,-28.0365698575178,677.2977246861481,4.7969573026676855,22.650269602856838,247.04308758441192,-7.082647299839949,-0.5126033241338357,2.157534834086163,19.68553020680824,19.60330546134981,22.223654924875742,22.162974346755522,62.09314403976898,456.1398169906781,304.04308758441186,-17.440714712244862,483.6781334196817,1.0,15.25135135135136,21.47117117117117,8.809909909909912,2.8135135135135116,70.03873873873872,94.10000000000002,14.667567567567565,15.643243243243244,15.0,21.0,9.1,0.0,71.9,96.4,15.1,16.4,13.2,21.2,9.1,0.0,77.4,97.5,14.7,16.5,1692.8999999999999,2383.3,977.9,312.29999999999995,7774.299999999998,10445.1,1628.1,1736.4,6.0,10.0,-1.7,0.0,40.0,65.9,6.6,7.4,23.3,31.3,16.7,42.4,93.9,99.8,18.3,19.2,3.571627204023523,4.329106298436358,4.160877419595643,6.842321329736066,13.409339833056473,6.6730530017104135,2.611379369471662,2.8093228437285087,12.95,18.5,5.95,0.0,62.4,92.5,13.649999999999999,14.4,15.0,21.0,9.1,0.0,71.9,96.4,15.1,16.4,18.2,24.9,12.1,1.2,79.5,98.2,16.6,17.65,0,1
1385,,3.0,3.0,QUARNA,62.0,,67,,2.541203673678043,4.226477607047291,5.085489031535368,7.341136673191149,14.900808843473587,26.26859086162682,174.85664923543757,9.81531981193822,10.674331236426296,174.85664923543757,0.826262508881167,-2.066944528221054,15.765363689336423,17.600700778604303,29.968098142268584,17.714558358072157,38.15039987569052,-23.02330162525786,554.5587317367701,-1.7364615766149127,29.004875891476527,206.09332798981438,-10.292473807045484,-9.252485253416905,-1.6349117708912448,16.337471789172497,18.093387475110745,17.766288236956633,19.948184402531073,59.511229138264554,364.6821041689666,263.09332798981444,-25.254914511246426,398.80407918478807,1.0,15.25135135135136,21.47117117117117,8.809909909909912,2.8135135135135116,70.03873873873872,94.10000000000002,14.667567567567565,15.643243243243244,15.0,21.0,9.1,0.0,71.9,96.4,15.1,16.4,13.2,21.2,9.1,0.0,77.4,97.5,14.7,16.5,1692.8999999999999,2383.3,977.9,312.29999999999995,7774.299999999998,10445.1,1628.1,1736.4,6.0,10.0,-1.7,0.0,40.0,65.9,6.6,7.4,23.3,31.3,16.7,42.4,93.9,99.8,18.3,19.2,3.571627204023523,4.329106298436358,4.160877419595643,6.842321329736066,13.409339833056473,6.6730530017104135,2.611379369471662,2.8093228437285087,12.95,18.5,5.95,0.0,62.4,92.5,13.649999999999999,14.4,15.0,21.0,9.1,0.0,71.9,96.4,15.1,16.4,18.2,24.9,12.1,1.2,79.5,98.2,16.6,17.65,0,1
1386,,3.0,3.0,Filin,16.0,,69,,2.54558104055597,4.468481815805557,5.223457910459383,8.085048120148063,15.987020403312311,27.976680678659356,147.33132851488892,10.763562492852927,11.518538587506754,147.33132851488892,1.16792468059576,-1.6764345782418146,17.033502486107867,19.195925322794288,30.842057231542793,17.70594681720391,35.35616732325597,-25.103200493598475,615.6147057850226,-9.060631416790699e-05,29.40939492982387,208.9666816864482,-9.267409542061314,-5.634279179815374,-0.4111463955830277,17.67729061546997,19.112426153743254,19.081489364195832,20.801384529217646,62.008854659018226,400.24861717256374,265.9666816864482,-23.653944243119664,433.0085658199863,1.0,15.25135135135136,21.47117117117117,8.809909909909912,2.8135135135135116,70.03873873873872,94.10000000000002,14.667567567567565,15.643243243243244,15.0,21.0,9.1,0.0,71.9,96.4,15.1,16.4,13.2,21.2,9.1,0.0,77.4,97.5,14.7,16.5,1692.8999999999999,2383.3,977.9,312.29999999999995,7774.299999999998,10445.1,1628.1,1736.4,6.0,10.0,-1.7,0.0,40.0,65.9,6.6,7.4,23.3,31.3,16.7,42.4,93.9,99.8,18.3,19.2,3.571627204023523,4.329106298436358,4.160877419595643,6.842321329736066,13.409339833056473,6.6730530017104135,2.611379369471662,2.8093228437285087,12.95,18.5,5.95,0.0,62.4,92.5,13.649999999999999,14.4,15.0,21.0,9.1,0.0,71.9,96.4,15.1,16.4,18.2,24.9,12.1,1.2,79.5,98.2,16.6,17.65,0,1
1401,,1.0,4.0,Saar,14.0,,65,,2.6798841485986533,4.76336972680357,5.42282395750517,8.369024915067065,15.57160090225645,26.705837421283025,142.64064543871103,10.14877694475128,10.80823117545288,142.64064543871103,1.4240313475033135,-1.404552466200352,16.23263342286209,18.25484913415191,29.28151635971023,16.485487627664252,34.73388038955406,-21.63699249157267,582.5484474570127,0.09157651341843431,29.174344269496395,190.42751138599922,-9.064754935088613,-6.919010617625505,-1.5767990709688207,16.88911857452549,18.167098064692233,18.296882433999798,19.83532904414828,60.597761733598176,352.748967163443,247.42751138599922,-25.188361153794855,386.52718210464866,1.0,15.25135135135136,21.47117117117117,8.809909909909912,2.8135135135135116,70.03873873873872,94.10000000000002,14.667567567567565,15.643243243243244,15.0,21.0,9.1,0.0,71.9,96.4,15.1,16.4,13.2,21.2,9.1,0.0,77.4,97.5,14.7,16.5,1692.8999999999999,2383.3,977.9,312.29999999999995,7774.299999999998,10445.1,1628.1,1736.4,6.0,10.0,-1.7,0.0,40.0,65.9,6.6,7.4,23.3,31.3,16.7,42.4,93.9,99.8,18.3,19.2,3.571627204023523,4.329106298436358,4.160877419595643,6.842321329736066,13.409339833056473,6.6730530017104135,2.611379369471662,2.8093228437285087,12.95,18.5,5.95,0.0,62.4,92.5,13.649999999999999,14.4,15.0,21.0,9.1,0.0,71.9,96.4,15.1,16.4,18.2,24.9,12.1,1.2,79.5,98.2,16.6,17.65,0,1
1402,,1.0,4.0,TUI/RL4137,1423.0,,66,,2.656017071086299,4.566657991583154,5.301118677822199,7.838599302122992,14.740490014613084,26.041776783533653,160.72611906648294,9.439371336790881,10.173832023029927,160.72611906648294,1.1761802342578094,-1.6787279231101115,15.45174509603066,17.14102265050305,28.92095004044645,16.609609455959912,36.63000005421374,-20.504907710686247,536.9838527578912,-0.33758259298678506,28.535745577068067,183.01763991059818,-9.414378296985785,-8.88306103211708,-2.3600766553584602,16.023684005381526,17.460710278015977,17.56902276045377,19.30609043259802,58.86278696101257,342.0215808656687,240.01763991059818,-25.635697240451883,376.3584103513647,1.0,15.25135135135136,21.47117117117117,8.809909909909912,2.8135135135135116,70.03873873873872,94.10000000000002,14.667567567567565,15.643243243243244,15.0,21.0,9.1,0.0,71.9,96.4,15.1,16.4,13.2,21.2,9.1,0.0,77.4,97.5,14.7,16.5,1692.8999999999999,2383.3,977.9,312.29999999999995,7774.299999999998,10445.1,1628.1,1736.4,6.0,10.0,-1.7,0.0,40.0,65.9,6.6,7.4,23.3,31.3,16.7,42.4,93.9,99.8,18.3,19.2,3.571627204023523,4.329106298436358,4.160877419595643,6.842321329736066,13.409339833056473,6.6730530017104135,2.611379369471662,2.8093228437285087,12.95,18.5,5.95,0.0,62.4,92.5,13.649999999999999,14.4,15.0,21.0,9.1,0.0,71.9,96.4,15.1,16.4,18.2,24.9,12.1,1.2,79.5,98.2,16.6,17.65,0,1
